INDEX,NOMBRE_DATA_VIAJES,NOMBRE_RESULTS_5,RATIO,
243,COMP. DE TRANPORTE VECINAL S.A,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,86,
244,COOPERATIVA 3 DE JULIO LIMITAD,COOPERATIVA DE TRABAJO 3 DE JULIO LTDA.,86,
245,D.U.V.I. S.A.,DUVI S.A.,86,
246,EMP. 4 DE SEPTIEMBRE,4 DE SEPTIEMBRE SATCP,86,
247,EMP. DE TRANSP. DEL SUR,EMPRESA DE TRANSPORTE DEL SUR SRL,86,
248,EMP. DE TRANSP. LINEA 104 S.A.,EMPRESA DE TRANSPORTES 104 S.A.,86,
249,EMPALME LOBOS S.R.L.,EXPRESO EMPALME LOBOS SRL,86,
250,EMPRESA DEL OESTE S.A.T.,EMPRESA DEL OESTE S.A. DE TRANSPORTES,86,
251,EMPRESA LINEA 7 S.A.T.,EMPRESA LINEA SIETE SOCIEDAD ANONIMA DE TRANSPORTE,86,
252,EXPRESO COOP.DE TRABAJO 6 DE JULIO LIMITADA,COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA,86,
253,GENERAL PACHECO S.R.L.,MICRO OMNIBUS GENERAL PACHECO S.A.,86,
254,GENERAL SAN MARTIN S.A.C.,MICROOMNIBUS GENERAL SAN MARTIN SAC ,86,
255,LA PRIMERA DE MALVINAS ARG UTE,LA PRIMERA DE MALVINAS ARGENTINAS UNION TRANSITORIA DE EMPRESA,86,
256,LANUS ESTE S.A.,TRANSPORTES AUTOMOTORES LANUS ESTE SOCIEDAD ANÓNIMA,86,
257,LARROQUE LINEA 548 S.R.L.,EMPRESA MICROOMNIBUS LARROQUEL.548,86,
258,LINEA 213 S.A.T.,LINEA 213 SOCIEDAD ANONIMA DE TRANSPORTE,86,
259,LINEA 216 S.A. DE T.,EMPRESA LINEA DOSCIENTOS DIECISEIS S A DE TRANSPORTES,86,
260,LÍNEA DE MICROOMNIBUS 47 S.A.,LINEA DE MICROOMNIBUS 47 SOCIEDAD ANONIMA,86,
261,M. MORENO S.A.,EMPRESA DE TRANSPORTES MARIANO MORENO S.A.,86,
262,M. OMNIBUS BCAS DE BELGRANO SA.,MICROOMNIBUS BARRANCAS DE BELGRANO S. A.,86,
263,M.O.D.O S.A.,MODO S.A.,86,
264,MAYO S.A.T.A,MAYO SOCIEDAD ANONIMA TRANSPORTE AUTOMOTOR,86,
265,NUEVA METROPOL S.A.T.A.C.I,LA NUEVA METROPOL SATACI,86,
266,OHIGGINS S.A.T.,MICRO OMNIBUS O´HIGGINS SAT,86,
267,P.MENDOZA CISA,EMPRESA DE TRANSPORTES PEDRO DE MENDOZA C.I.S.A.,86,
268,TRANSP. 22 DE SEPT. SAC,TRANSP VEINTIDOS DE SEPTIEMBRE S A C,86,
269,TRANSP. SANTA FE,TRANSPORTES SANTA FE S.A.C.E.I.,86,
270,TRANSPORTE LOPE DE VEGA,TRANSPORTES LOPE DE VEGA S A C I,86,
271,VILLA BOSCH S.A.C.E I,TRANSPORTES VILLA BOSCH S.A.C. E I.,86,
272,COMPAÑIA\xa0 DE TRANSPORTE VECINAL S.A.,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,86,
273,EXPRESO VILLA GALICIA\xa0 SAN JOSE S.A.,EXPRESO VILLA GALICIA SAN JOSE S.A.,86,
274,COMPAÑIA  DE TRANSPORTE VECINAL S.A.,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,86,
275,COMPAÑIA DE TRANSPORTE VECINAL S.A. ,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,90,C.O.S.A. COMPAÑIA DE TRANSPORTE VECINAL S.A. UNION 
276,COMPAÑIA  DE TRANSPORTE VECINAL S.A.,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,90,C.O.S.A. COMPAÑIA DE TRANSPORTE VECINAL S.A. UNION TRANSITORIA
277,COMPAÑIA DE TRANSPORTE VECINAL S.A.,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,90,C.O.S.A. COMPAÑIA DE TRANSPORTE VECINAL S.A. UNION TRANSITORIA
